,Video_id,Video_Channel_title,Stats_Comment,Stats_Fav,Stats_Like,Stats_view
12,Qn4Cpu-4prg,Austin Evans,7,0,17,3029
13,epl-RPxxHFU,Austin Evans,12,0,32,1195
14,RTAz_hWSGfk,Austin Evans,18,0,79,8629
15,XuK6ftgItXo,Austin Evans,381,0,1181,73112
16,jZqbESGuPjI,Austin Evans,9,0,18,1069
17,bR89DdhLiXc,Austin Evans,25,0,27,966
18,Y62N_M7fEoQ,Austin Evans,18,0,53,5420
19,jA0EsLs32QY,Austin Evans,15,0,17,1133
20,A-g27bfiym0,Austin Evans,34,0,52,58189
21,KJeVK7EJ-xo,Austin Evans,28,0,103,7127
22,nhe-cPe4Qx4,Austin Evans,20,0,45,10807
23,ulYA6W0Mcls,Austin Evans,279,0,259,144972
24,0tcDYByCWwo,Austin Evans,18,0,38,2149
25,_cPC7kpl3pA,Austin Evans,66,0,202,13657
26,zBtljnZHPrI,Austin Evans,23,0,57,9049
27,ZGNNoENZHUE,Austin Evans,32,0,125,14272
28,lALQeebNzB4,Austin Evans,73,0,107,82104
29,v8eNuwawzBk,Austin Evans,35,0,107,16633
30,UdFiCl50_RQ,Austin Evans,10,0,24,1711
31,BCPemUXw6DM,Austin Evans,19,0,50,19651
32,RzzPtDfQh6k,Austin Evans,25,0,45,4061
33,i0EoUTwyG5Q,Austin Evans,23,0,63,15393
34,KVrKK_Q338U,Austin Evans,30,0,62,10065
35,RX3bKwrRCdA,Austin Evans,72,0,245,17643
36,jFFMoexGrnw,Austin Evans,14,0,34,2325
37,Xwlbq4CIrAA,Austin Evans,36,0,35,36979
38,SoVc7lQIvAY,Austin Evans,13,0,41,2859
39,pIunAxLYtq4,Austin Evans,25,0,44,3152
40,AAPoYqCJJMw,Austin Evans,26,0,36,1906
41,ODTWWId7keI,Austin Evans,17,0,46,2979
42,6EbrypAjGso,Austin Evans,28,0,65,7998
43,2mEvUY1eXqw,Austin Evans,41,0,66,3759
44,4FRN4EaycLc,Austin Evans,20,0,27,1419
45,RWoL9MqcPwc,Austin Evans,29,0,57,4853
46,kufuA7hi7nw,Austin Evans,45,0,101,8261
47,JEOgr_oWpJ4,Austin Evans,74,0,114,39373
48,IxKweWREvw0,Austin Evans,26,0,34,3149
49,8t_vDXe-ui4,Austin Evans,38,0,147,10802
0,dDfWgnL8IhE,Austin Evans,13,0,45,3446
1,m_n6TufnTEQ,Austin Evans,235,0,371,170255
2,8T-YMlpwLzk,Austin Evans,235,0,595,34762
3,mEBjVpRB66o,Austin Evans,17,0,27,1560
4,YtGO1uG_JAc,Austin Evans,8,0,24,3136
5,iFqxcVgd_yo,Austin Evans,62,0,135,8299
6,cqG1x849GAI,Austin Evans,16,0,32,1806
7,WUcmYmnTwtk,Austin Evans,15,0,47,3771
8,CHicj05bEwc,Austin Evans,25,0,26,1566
9,KmwycSy363Q,Austin Evans,42,0,75,6646
10,ECUhK0CHdzE,Austin Evans,25,0,36,1755
11,9gZdD2l7hos,Austin Evans,34,0,122,10262
12,sNLhngc_XgI,Austin Evans,29,0,91,7819
13,UtmOhDh__6I,Austin Evans,25,0,60,4316
14,3k7DITCxi1c,Austin Evans,25,0,62,3927
15,2MSCGEykvM4,Austin Evans,31,0,66,3875
16,0VnJ-JBNQgY,Austin Evans,39,0,96,6243
17,i1USqONVnqA,Austin Evans,148,0,463,30791
18,4YsAvKdiqJE,Austin Evans,1644,0,3083,159764
19,dDfWgnL8IhE,Austin Evans,13,0,45,3446
20,m_n6TufnTEQ,Austin Evans,235,0,371,170255
21,8T-YMlpwLzk,Austin Evans,235,0,595,34762
22,mEBjVpRB66o,Austin Evans,17,0,27,1560
23,YtGO1uG_JAc,Austin Evans,8,0,24,3136
24,iFqxcVgd_yo,Austin Evans,62,0,135,8299
25,cqG1x849GAI,Austin Evans,16,0,32,1806
26,WUcmYmnTwtk,Austin Evans,15,0,47,3771
27,CHicj05bEwc,Austin Evans,25,0,26,1566
28,KmwycSy363Q,Austin Evans,42,0,75,6646
29,ECUhK0CHdzE,Austin Evans,25,0,36,1755
30,9gZdD2l7hos,Austin Evans,34,0,122,10262
31,sNLhngc_XgI,Austin Evans,29,0,91,7819
32,UtmOhDh__6I,Austin Evans,25,0,60,4316
33,3k7DITCxi1c,Austin Evans,25,0,62,3927
34,2MSCGEykvM4,Austin Evans,31,0,66,3875
35,0VnJ-JBNQgY,Austin Evans,39,0,96,6243
36,i1USqONVnqA,Austin Evans,148,0,463,30791
37,4YsAvKdiqJE,Austin Evans,1644,0,3083,159764
0,gwe4wuybJco,Technical Guruji,1940,0,19617,343892
1,a9P0pgEV2fE,Technical Guruji,978,0,14169,239568
2,7tbU6yKWDj4,Technical Guruji,562,0,6864,139267
3,__CraWfLDxk,Technical Guruji,880,0,8386,147843
4,3mcL7x8rEhA,Technical Guruji,5567,0,11250,127005
5,9cpArliwl94,Technical Guruji,1125,0,17064,429027
6,I2JbBn3U_YM,Technical Guruji,1301,0,15963,346719
7,lrB0laRx4mY,Technical Guruji,2499,0,72069,1766633
8,aBAkZJoGT5U,Technical Guruji,1039,0,13118,294426
9,pD72tn_F7Ts,Technical Guruji,720,0,10899,244070
10,0K8K-7ds7DA,Technical Guruji,909,0,16684,472224
11,co6xSo9mdUM,Technical Guruji,74,0,6807,78982
12,TBpfjFqgbiI,Technical Guruji,665,0,6695,111342
13,eHfAoWlLqTY,Technical Guruji,1129,0,20324,375491
14,LELruc_Sb5Q,Technical Guruji,1092,0,26493,614622
15,CUeUoVhUc44,Technical Guruji,471,0,4604,54740
16,iCGPoTsVqHo,Technical Guruji,3239,0,110851,2272668
17,g_815TWFMWI,Technical Guruji,1091,0,18523,408037
18,k76Mus2MxcQ,Technical Guruji,513,0,91710,852768
19,9mjJWuKrypM,Technical Guruji,436,0,6037,82725
20,AQcTDXf4Kgk,Technical Guruji,918,0,11017,215066
21,FWkzT-VVD7U,Technical Guruji,160,0,20654,247466
